[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 211, Episode length: 10, Episode reward: 0.99
Episode: 212, Episode length: 10, Episode reward: -0.008
Episode: 213, Episode length: 10, Episode reward: 0.99
Episode: 214, Episode length: 10, Episode reward: 0.99
Episode: 215, Episode length: 10, Episode reward: 0.99
Episode: 216, Episode length: 10, Episode reward: 0.99
Episode: 217, Episode length: 10, Episode reward: 0.99
Episode: 218, Episode length: 10, Episode reward: 0.99
Episode: 219, Episode length: 10, Episode reward: 0.99
Episode: 220, Episode length: 10, Episode reward: 0.99
Episode: 221, Episode length: 10, Episode reward: -0.008
Episode: 222, Episode length: 10, Episode reward: 0.99
Episode: 223, Episode length: 10, Episode reward: 0.99
Episode: 224, Episode length: 10, Episode reward: 0.99
Episode: 225, Episode length: 10, Episode reward: 0.99
Episode: 226, Episode length: 10, Episode reward: 0.99
Episode: 227, Episode length: 10, Episode reward: 0.99
Episode: 228, Episode length: 10, Episode reward: 0.99
Episode: 229, Episode length: 10, Episode reward: 0.99
Episode: 230, Episode length: 10, Episode reward: 0.99
Episode: 231, Episode length: 10, Episode reward: 0.99
Episode: 232, Episode length: 10, Episode reward: 0.99
Episode: 233, Episode length: 10, Episode reward: 0.99
Episode: 234, Episode length: 10, Episode reward: 0.99
Episode: 235, Episode length: 10, Episode reward: -0.008
Episode: 236, Episode length: 10, Episode reward: 0.99
Episode: 237, Episode length: 10, Episode reward: 0.99
Episode: 238, Episode length: 10, Episode reward: 0.99
Episode: 239, Episode length: 10, Episode reward: 0.99
Episode: 240, Episode length: 10, Episode reward: 0.99
Episode: 241, Episode length: 10, Episode reward: 0.99
Episode: 242, Episode length: 10, Episode reward: 0.99
Episode: 243, Episode length: 10, Episode reward: 0.99
Episode: 244, Episode length: 10, Episode reward: 0.99
Episode: 245, Episode length: 10, Episode reward: 0.99
Episode: 246, Episode length: 10, Episode reward: 0.99
Episode: 247, Episode length: 10, Episode reward: 0.99
Episode: 248, Episode length: 10, Episode reward: 0.99
Episode: 249, Episode length: 10, Episode reward: 0.99
Episode: 250, Episode length: 10, Episode reward: 0.99
Episode: 251, Episode length: 10, Episode reward: 0.99
Episode: 252, Episode length: 10, Episode reward: 0.99
Episode: 253, Episode length: 10, Episode reward: 0.99
Episode: 254, Episode length: 10, Episode reward: 0.99
Episode: 255, Episode length: 10, Episode reward: 0.99
Episode: 256, Episode length: 10, Episode reward: -0.006
Episode: 257, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 258, Episode length: 10, Episode reward: 0.99
Episode: 259, Episode length: 10, Episode reward: 0.99
Episode: 260, Episode length: 10, Episode reward: 0.99
Episode: 261, Episode length: 10, Episode reward: 0.99
Episode: 262, Episode length: 10, Episode reward: 0.99
Episode: 263, Episode length: 10, Episode reward: 0.99
Episode: 264, Episode length: 10, Episode reward: 0.99
Episode: 265, Episode length: 10, Episode reward: 0.99
Episode: 266, Episode length: 10, Episode reward: 0.99
Episode: 267, Episode length: 10, Episode reward: 0.99
Episode: 268, Episode length: 10, Episode reward: 0.99
Episode: 269, Episode length: 10, Episode reward: 0.99
Episode: 270, Episode length: 10, Episode reward: 0.99
Episode: 271, Episode length: 10, Episode reward: 0.99
Episode: 272, Episode length: 10, Episode reward: 0.99
Episode: 273, Episode length: 10, Episode reward: 0.99
Episode: 274, Episode length: 10, Episode reward: 0.99
Episode: 275, Episode length: 10, Episode reward: 0.99
Episode: 276, Episode length: 10, Episode reward: 0.99
Episode: 277, Episode length: 10, Episode reward: 0.99
Episode: 278, Episode length: 10, Episode reward: 0.99
Episode: 279, Episode length: 10, Episode reward: -0.006
Episode: 280, Episode length: 10, Episode reward: 0.99
Episode: 281, Episode length: 10, Episode reward: -0.007
Episode: 282, Episode length: 10, Episode reward: 0.99
Episode: 283, Episode length: 10, Episode reward: 0.99
Episode: 284, Episode length: 10, Episode reward: 0.99
Episode: 285, Episode length: 10, Episode reward: -0.008
Episode: 286, Episode length: 10, Episode reward: 0.99
Episode: 287, Episode length: 10, Episode reward: 0.99
Episode: 288, Episode length: 10, Episode reward: 0.99
Episode: 289, Episode length: 10, Episode reward: 0.99
Episode: 290, Episode length: 10, Episode reward: 0.99
Episode: 291, Episode length: 10, Episode reward: 0.99
Episode: 292, Episode length: 10, Episode reward: 0.99
Episode: 293, Episode length: 10, Episode reward: 0.99
Episode: 294, Episode length: 10, Episode reward: 0.99
Episode: 295, Episode length: 10, Episode reward: 0.99
Episode: 296, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 297, Episode length: 10, Episode reward: 0.99
Episode: 298, Episode length: 10, Episode reward: -0.007
Episode: 299, Episode length: 10, Episode reward: 0.99
Episode: 300, Episode length: 10, Episode reward: 0.99
Episode: 301, Episode length: 10, Episode reward: 0.99
Episode: 302, Episode length: 10, Episode reward: 0.99
Episode: 303, Episode length: 10, Episode reward: 0.99
Episode: 304, Episode length: 10, Episode reward: 0.99
Episode: 305, Episode length: 10, Episode reward: 0.99
Episode: 306, Episode length: 10, Episode reward: 0.99
Episode: 307, Episode length: 10, Episode reward: 0.99
Episode: 308, Episode length: 10, Episode reward: 0.99
Episode: 309, Episode length: 10, Episode reward: 0.99
Episode: 310, Episode length: 10, Episode reward: 0.99
Episode: 311, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 312, Episode length: 10, Episode reward: 0.99
Episode: 313, Episode length: 10, Episode reward: 0.99
Episode: 314, Episode length: 10, Episode reward: 0.99
Episode: 315, Episode length: 10, Episode reward: -0.006
Episode: 316, Episode length: 10, Episode reward: 0.99
Episode: 317, Episode length: 10, Episode reward: -0.005
Episode: 318, Episode length: 10, Episode reward: 0.99
Episode: 319, Episode length: 10, Episode reward: 0.99
Episode: 320, Episode length: 10, Episode reward: 0.99
Episode: 321, Episode length: 10, Episode reward: 0.99
Episode: 322, Episode length: 10, Episode reward: 0.99
Episode: 323, Episode length: 10, Episode reward: 0.99
Episode: 324, Episode length: 10, Episode reward: 0.99
Episode: 325, Episode length: 10, Episode reward: 0.99
Episode: 326, Episode length: 10, Episode reward: 0.99
Episode: 327, Episode length: 10, Episode reward: 0.99
Episode: 328, Episode length: 10, Episode reward: 0.99
Episode: 329, Episode length: 10, Episode reward: 0.99
Episode: 330, Episode length: 10, Episode reward: 0.99
Episode: 331, Episode length: 10, Episode reward: 0.99
Episode: 332, Episode length: 10, Episode reward: 0.99
Episode: 333, Episode length: 10, Episode reward: 0.99
Episode: 334, Episode length: 10, Episode reward: 0.99
Episode: 335, Episode length: 10, Episode reward: 0.99
Episode: 336, Episode length: 10, Episode reward: 0.99
Episode: 337, Episode length: 10, Episode reward: 0.99
Episode: 338, Episode length: 10, Episode reward: 0.99
Episode: 339, Episode length: 10, Episode reward: 0.99
Episode: 340, Episode length: 10, Episode reward: 0.99
Episode: 341, Episode length: 10, Episode reward: 0.99
Episode: 342, Episode length: 10, Episode reward: 0.99
Episode: 343, Episode length: 10, Episode reward: 0.99
Episode: 344, Episode length: 10, Episode reward: 0.99
Episode: 345, Episode length: 10, Episode reward: 0.99
Episode: 346, Episode length: 10, Episode reward: 0.99
Episode: 347, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 348, Episode length: 10, Episode reward: 0.99
Episode: 349, Episode length: 10, Episode reward: 0.99
Episode: 350, Episode length: 10, Episode reward: 0.99
Episode: 351, Episode length: 10, Episode reward: 0.99
Episode: 352, Episode length: 10, Episode reward: 0.99
Episode: 353, Episode length: 10, Episode reward: 0.99
Episode: 354, Episode length: 10, Episode reward: 0.99
Episode: 355, Episode length: 10, Episode reward: 0.99
Episode: 356, Episode length: 10, Episode reward: 0.99
Episode: 357, Episode length: 10, Episode reward: 0.99
Episode: 358, Episode length: 10, Episode reward: 0.99
Episode: 359, Episode length: 10, Episode reward: 0.99
Episode: 360, Episode length: 10, Episode reward: 0.99
Episode: 361, Episode length: 10, Episode reward: 0.99
Episode: 362, Episode length: 10, Episode reward: -0.008
Episode: 363, Episode length: 10, Episode reward: 0.99
Episode: 364, Episode length: 10, Episode reward: 0.99
Episode: 365, Episode length: 10, Episode reward: 0.99
Episode: 366, Episode length: 10, Episode reward: -0.008
Episode: 367, Episode length: 10, Episode reward: 0.99
Episode: 368, Episode length: 10, Episode reward: 0.99
Episode: 369, Episode length: 10, Episode reward: 0.99
Episode: 370, Episode length: 10, Episode reward: 0.99
Episode: 371, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 372, Episode length: 10, Episode reward: -0.003
Episode: 373, Episode length: 10, Episode reward: 0.99
Episode: 374, Episode length: 10, Episode reward: 0.99
Episode: 375, Episode length: 10, Episode reward: 0.99
Episode: 376, Episode length: 10, Episode reward: -0.008
Episode: 377, Episode length: 10, Episode reward: 0.99
Episode: 378, Episode length: 10, Episode reward: 0.99
Episode: 379, Episode length: 10, Episode reward: 0.99
Episode: 380, Episode length: 10, Episode reward: 0.99
Episode: 381, Episode length: 10, Episode reward: 0.99
Episode: 382, Episode length: 10, Episode reward: -0.005
Episode: 383, Episode length: 10, Episode reward: -0.006
Episode: 384, Episode length: 10, Episode reward: 0.99
Episode: 385, Episode length: 10, Episode reward: -0.006
Episode: 386, Episode length: 10, Episode reward: 0.99
Episode: 387, Episode length: 10, Episode reward: 0.99
Episode: 388, Episode length: 10, Episode reward: 0.99
Episode: 389, Episode length: 10, Episode reward: 0.99
Episode: 390, Episode length: 10, Episode reward: 0.99
Episode: 391, Episode length: 10, Episode reward: 0.99
Episode: 392, Episode length: 10, Episode reward: 0.99
Episode: 393, Episode length: 10, Episode reward: 0.99
Episode: 394, Episode length: 10, Episode reward: 0.99
Episode: 395, Episode length: 10, Episode reward: 0.99
Episode: 396, Episode length: 10, Episode reward: 0.99
Episode: 397, Episode length: 10, Episode reward: 0.99
Episode: 398, Episode length: 10, Episode reward: 0.99
Episode: 399, Episode length: 10, Episode reward: 0.99
Episode: 400, Episode length: 10, Episode reward: 0.99
Episode: 401, Episode length: 10, Episode reward: 0.99
Episode: 402, Episode length: 10, Episode reward: 0.99
Episode: 403, Episode length: 10, Episode reward: -0.007
Episode: 404, Episode length: 10, Episode reward: 0.99
Episode: 405, Episode length: 10, Episode reward: 0.99
Episode: 406, Episode length: 10, Episode reward: -0.003
Episode: 407, Episode length: 10, Episode reward: 0.99
Episode: 408, Episode length: 10, Episode reward: 0.99
Episode: 409, Episode length: 10, Episode reward: 0.99
Episode: 410, Episode length: 10, Episode reward: 0.99
Episode: 411, Episode length: 10, Episode reward: 0.99
Episode: 412, Episode length: 10, Episode reward: 0.99
Episode: 413, Episode length: 10, Episode reward: 0.99
Episode: 414, Episode length: 10, Episode reward: 0.99
Episode: 415, Episode length: 10, Episode reward: 0.99
Episode: 416, Episode length: 10, Episode reward: 0.99
Episode: 417, Episode length: 10, Episode reward: 0.99
Episode: 418, Episode length: 10, Episode reward: 0.99
Episode: 419, Episode length: 10, Episode reward: 0.99
Episode: 420, Episode length: 10, Episode reward: 0.99
Episode: 421, Episode length: 10, Episode reward: 0.99
Episode: 422, Episode length: 10, Episode reward: 0.99
Episode: 423, Episode length: 10, Episode reward: 0.99
Episode: 424, Episode length: 10, Episode reward: 0.99
Episode: 425, Episode length: 10, Episode reward: 0.99
Episode: 426, Episode length: 10, Episode reward: 0.99
Episode: 427, Episode length: 10, Episode reward: 0.99
Episode: 428, Episode length: 10, Episode reward: 0.99
Episode: 429, Episode length: 10, Episode reward: 0.99
Episode: 430, Episode length: 10, Episode reward: 0.99
Episode: 431, Episode length: 10, Episode reward: 0.99
Episode: 432, Episode length: 10, Episode reward: 0.99
Episode: 433, Episode length: 10, Episode reward: 0.99
Episode: 434, Episode length: 10, Episode reward: -0.008
Episode: 435, Episode length: 10, Episode reward: 0.99
Episode: 436, Episode length: 10, Episode reward: 0.99
Episode: 437, Episode length: 10, Episode reward: 0.99
Episode: 438, Episode length: 10, Episode reward: 0.99
Episode: 439, Episode length: 10, Episode reward: 0.99
Episode: 440, Episode length: 10, Episode reward: 0.99
Episode: 441, Episode length: 10, Episode reward: 0.99
Episode: 442, Episode length: 10, Episode reward: -0.006
Episode: 443, Episode length: 10, Episode reward: 0.99
Episode: 444, Episode length: 10, Episode reward: 0.99
Episode: 445, Episode length: 10, Episode reward: 0.99
Episode: 446, Episode length: 10, Episode reward: 0.99
Episode: 447, Episode length: 10, Episode reward: 0.99
Episode: 448, Episode length: 10, Episode reward: 0.99
Episode: 449, Episode length: 10, Episode reward: 0.99
Episode: 450, Episode length: 10, Episode reward: 0.99
Episode: 451, Episode length: 10, Episode reward: -0.007
Episode: 452, Episode length: 10, Episode reward: 0.99
Episode: 453, Episode length: 10, Episode reward: 0.99
Episode: 454, Episode length: 10, Episode reward: 0.99
Episode: 455, Episode length: 10, Episode reward: 0.99
Episode: 456, Episode length: 10, Episode reward: 0.99
Episode: 457, Episode length: 10, Episode reward: 0.99
Episode: 458, Episode length: 10, Episode reward: 0.99
Episode: 459, Episode length: 10, Episode reward: 0.99
Episode: 460, Episode length: 10, Episode reward: 0.99
Episode: 461, Episode length: 10, Episode reward: 0.99
Episode: 462, Episode length: 10, Episode reward: 0.99
Episode: 463, Episode length: 10, Episode reward: 0.99
Episode: 464, Episode length: 10, Episode reward: 0.99
Episode: 465, Episode length: 10, Episode reward: 0.99
Episode: 466, Episode length: 10, Episode reward: 0.99
Episode: 467, Episode length: 10, Episode reward: 0.99
Episode: 468, Episode length: 10, Episode reward: 0.99
Episode: 469, Episode length: 10, Episode reward: 0.99
Episode: 470, Episode length: 10, Episode reward: 0.99
Episode: 471, Episode length: 10, Episode reward: 0.99
Episode: 472, Episode length: 10, Episode reward: 0.99
Episode: 473, Episode length: 10, Episode reward: 0.99
Episode: 474, Episode length: 10, Episode reward: -0.005
Episode: 475, Episode length: 10, Episode reward: 0.99
Episode: 476, Episode length: 10, Episode reward: 0.99
Episode: 477, Episode length: 10, Episode reward: 0.99
Episode: 478, Episode length: 10, Episode reward: 0.99
Episode: 479, Episode length: 10, Episode reward: -0.005
Episode: 480, Episode length: 10, Episode reward: 0.99
Episode: 481, Episode length: 10, Episode reward: 0.99
Episode: 482, Episode length: 10, Episode reward: 0.99
Episode: 483, Episode length: 10, Episode reward: -0.008
Episode: 484, Episode length: 10, Episode reward: 0.99
Episode: 485, Episode length: 10, Episode reward: 0.99
Episode: 486, Episode length: 10, Episode reward: 0.99
Episode: 487, Episode length: 10, Episode reward: 0.99
Episode: 488, Episode length: 10, Episode reward: 0.99
Episode: 489, Episode length: 10, Episode reward: -0.006
Episode: 490, Episode length: 10, Episode reward: 0.99
Episode: 491, Episode length: 10, Episode reward: 0.99
Episode: 492, Episode length: 10, Episode reward: 0.99
Episode: 493, Episode length: 10, Episode reward: 0.99
Episode: 494, Episode length: 10, Episode reward: 0.99
Episode: 495, Episode length: 10, Episode reward: -0.008
Episode: 496, Episode length: 10, Episode reward: 0.99
Episode: 497, Episode length: 10, Episode reward: 0.99
Episode: 498, Episode length: 10, Episode reward: 0.99
Episode: 499, Episode length: 10, Episode reward: 0.99
