[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 473, Episode length: 10, Episode reward: -0.006
Episode: 474, Episode length: 10, Episode reward: -0.006
Episode: 475, Episode length: 10, Episode reward: -0.008
Episode: 476, Episode length: 10, Episode reward: -0.004
Episode: 477, Episode length: 10, Episode reward: -0.008
Episode: 478, Episode length: 10, Episode reward: -0.004
Episode: 479, Episode length: 10, Episode reward: -0.001
Episode: 480, Episode length: 10, Episode reward: -0.006
Episode: 481, Episode length: 10, Episode reward: -0.006
Episode: 482, Episode length: 10, Episode reward: -0.005
Episode: 483, Episode length: 10, Episode reward: -0.004
Episode: 484, Episode length: 10, Episode reward: -0.004
Episode: 485, Episode length: 10, Episode reward: -0.007
Episode: 486, Episode length: 10, Episode reward: -0.007
Episode: 487, Episode length: 10, Episode reward: -0.007
Episode: 488, Episode length: 10, Episode reward: -0.003
Episode: 489, Episode length: 10, Episode reward: -0.003
Episode: 490, Episode length: 10, Episode reward: -0.005
Episode: 491, Episode length: 10, Episode reward: -0.002
Episode: 492, Episode length: 10, Episode reward: -0.007
Episode: 493, Episode length: 10, Episode reward: -0.004
Episode: 494, Episode length: 10, Episode reward: -0.005
Episode: 495, Episode length: 10, Episode reward: -0.004
Episode: 496, Episode length: 10, Episode reward: -0.006
Episode: 497, Episode length: 10, Episode reward: -0.005
Episode: 498, Episode length: 10, Episode reward: -0.006
Episode: 499, Episode length: 10, Episode reward: -0.005
